1788662020,SPY   250801C00745000,SPY,3.0,6.67,0.0,False,0,0.0,
1788662020,SPY   250801C00745000,SPY,3.0,45.0,0.0,False,0,0.0,
1788662021,,NQ,28660.0,-0.3,0.0,False,0,0.0,
1788662021,,ES,7500.0,-0.27,0.0,False,0,0.0,
1788662021,SPY   250801C00745000,TSLA,4.5,-7.78,0.0,False,0,0.0,
1788662023,SPY   250801C00745000,SPY,4.0,-25.0,-10.0,True,0,0.0,
1788662025,SPY   250801C00745000,SPY,2.0,110.0,0.0,False,1,140.0,
1788662043,SPY   250801C00745000,SPY,3.0,6.67,0.0,False,0,0.0,
1788662043,SPY   250801C00745000,SPY,3.0,45.0,0.0,False,0,0.0,
1788662045,,NQ,28660.0,-0.3,0.0,False,0,0.0,
1788662045,,ES,7500.0,-0.27,0.0,False,0,0.0,
1788662045,SPY   250801C00745000,TSLA,4.5,-7.78,0.0,False,0,0.0,
1788662046,SPY   250801C00745000,SPY,4.0,-25.0,-10.0,True,0,0.0,
