date,opened,closed,opened_ts,closed_ts,t,room,caller,key,symbol,side,direction,strike,expiry,dte,occ,kind,qty,avg_in,fill,entries,exits,exit_avg,pl,pl_pct,max_runup_pct,max_drawdown_pct,hi_pct,lo_pct,state,exit_by,all_out,account,manual,swing,their_avg,their_stop,their_target,their_units,stop_at_exit,greeks_in,greeks_out,broker_confirmed,export_confirmed,store_pl,source,in_table,in_wallet,opened_from,exit_from,derived,day_file,raw,why
2026-08-05,13:14:51,13:16:23,1785950091.4971356,1785950183.4434197,,ZT scalps,Bullwinkle,bullwinkle|AAPL,AAPL,CALLS,1,315.0,2026-08-07,,,option,0,,,,,,0.0,,,,,,nofill,,True,paper,False,False,3.12,,,1,,,,False,False,0.0,days-json,True,False,store,store,False,2026-08-05.json,,
2026-08-05,15:27:07,15:57:29,1785958027.4517787,1785959849.571472,,ZT opt-2,are alerts,are alerts|HPE,HPE,CALLS,1,55.0,8/21,,,option,0,3.02,3.02,"[{""t"":1785958029.4547944,""qty"":5,""price"":3.02}]","[{""t"":1785959849.571479,""qty"":5,""price"":2.35,""pl"":-335.0}]",2.35,-335.0,,,,,,filled,,True,paper,False,False,2.9,,,1,,,,True,False,-335.0,days-json,True,False,store,store,False,2026-08-05.json,,
2026-08-05,,15:57:29,,1785959849.5714862,1785959849.5714862,ZT opt-2,are alerts,are alerts|HPE,HPE,,,,,,,,5,3.02,3.02,"[{""t"":null,""qty"":5,""price"":3.02}]","[{""t"":1785959849.5714862,""qty"":5,""price"":2.35,""pl"":-335.0}]",2.35,-335.0,-22.19,,,,,closed,,,paper,False,False,,,,,,,,False,False,-335.0,days-json,False,True,store,store,True,2026-08-05.json,,
2026-08-07,08:12:13,,1786104733.794527,,,?,?,?|AAPL,AAPL,CALLS,1,315.0,2026-08-07,,,option,5,1.09,1.09,"[{""t"":1786104733.794527,""qty"":5,""price"":1.09}]",,,0.0,0.0,,,,,filled,,False,live,False,False,1.09,,,1,,,,False,False,0.0,days-json,True,False,store,store,True,2026-08-07.json,,
2026-08-07,08:12:13,,1786104733.788161,,,?,?,?|ADBE,ADBE,CALLS,1,270.0,2026-08-21,,,option,1,6.55,6.55,"[{""t"":1786104733.788161,""qty"":1,""price"":6.55}]",,,0.0,0.0,,,,,filled,,False,live,False,False,6.55,,,1,,,,False,False,0.0,days-json,True,False,store,store,True,2026-08-07.json,,
2026-08-07,08:12:13,,1786104733.78218,,,?,?,?|FCX,FCX,PUTS,1,67.0,2026-08-21,,,option,1,2.3,2.3,"[{""t"":1786104733.78218,""qty"":1,""price"":2.3}]",,,0.0,0.0,,,,,filled,,False,live,False,False,2.3,,,1,,,,False,False,0.0,days-json,True,False,store,store,True,2026-08-07.json,,
2026-08-07,08:12:13,,1786104733.7923381,,,?,?,?|HPE,HPE,CALLS,1,60.0,2026-09-18,,,option,1,3.6,3.6,"[{""t"":1786104733.7923381,""qty"":1,""price"":3.6}]",,,0.0,0.0,,,,,filled,,False,live,False,False,3.6,,,1,,,,False,False,0.0,days-json,True,False,store,store,True,2026-08-07.json,,
2026-08-07,08:12:13,,1786104733.7860808,,,?,?,?|NBIS,NBIS,PUTS,1,155.0,2026-08-14,,,option,1,4.3,4.3,"[{""t"":1786104733.7860808,""qty"":1,""price"":4.3}]",,,0.0,0.0,,,,,filled,,False,live,False,False,4.3,,,1,,,,False,False,0.0,days-json,True,False,store,store,True,2026-08-07.json,,
2026-08-07,08:12:13,,1786104733.7842686,,,?,?,?|PYPL,PYPL,CALLS,1,61.0,2026-08-21,,,option,1,0.97,0.97,"[{""t"":1786104733.7842686,""qty"":1,""price"":0.97}]",,,0.0,0.0,,,,,filled,,False,live,False,False,0.97,,,1,,,,False,False,0.0,days-json,True,False,store,store,True,2026-08-07.json,,
2026-08-07,08:12:13,,1786104733.7900987,,,?,?,?|W,W,PUTS,1,90.0,2026-09-18,,,option,1,2.7,2.7,"[{""t"":1786104733.7900987,""qty"":1,""price"":2.7}]",,,0.0,0.0,,,,,filled,,False,live,False,False,2.7,,,1,,,,False,False,0.0,days-json,True,False,store,store,True,2026-08-07.json,,
